player_name,shots,goals,passes,total_minutes
fredy hinestroza arias,2,0.0,37.0,194
frenkie de jong,3,1.0,1363.0,4556
freya gregory,1,0.0,10.0,90
frida maanum,1,0.0,16.0,103
fridolina rolfö,8,1.0,65.0,273
frédéric oumar kanouté,4,0.0,24.0,151
fyodor smolov,3,1.0,10.0,61
fábio henrique tavares,1,0.0,23.0,94
gabriel appelt pires,5,1.0,74.0,379
gabriel armando de abreu,5,0.0,388.0,1229
gabriel fernández arenas,7,1.0,481.0,1689
gabriel imuetinyan agbonlahor,1,0.0,64.0,359
gabriel iván mercado,2,1.0,43.0,183
gabriel omar batistuta,3,1.0,28.0,164
gabrielle george,26,1.0,1319.0,4339
gabrielle onguene,2,1.0,27.0,271
gaelle enganamouit,3,0.0,19.0,146
gaku shibasaki,1,0.0,6.0,62
gareth barry,7,0.0,753.0,2423
gareth frank bale,30,4.0,272.0,1287
gareth mcauley,2,0.0,245.0,879
garry mendes rodrigues,4,0.0,44.0,285
gary cahill,12,1.0,454.0,1504
gary lineker,2,1.0,12.0,81
gary michael stevens,1,0.0,41.0,121
gary naysmith,1,0.0,83.0,219
gary o''neil,2,0.0,274.0,971
gary speed,1,0.0,58.0,182
gaël clichy,1,0.0,471.0,1519
gaël kakuta,2,0.0,76.0,370
gaëtane thiney,6,0.0,87.0,403
gemma bonner,30,4.0,2070.0,6083
gemma evans,4,1.0,889.0,3071
gemma suzanne davison,29,2.0,542.0,2719
geneviève ngo mbeleck,1,0.0,19.0,96
geoff cameron,8,0.0,403.0,1321
geoffrey kondogbia,1,0.0,84.0,331
georg schwarzenbeck,3,0.0,34.0,119
george boateng,1,0.0,92.0,405
georgia brougham,6,0.0,770.0,2397
georgia evans,5,0.0,399.0,1650
georgia stanway,106,15.0,983.0,4570
georgia wilson,2,0.0,66.0,390
georginio wijnaldum,19,2.0,495.0,1984
gerard deulofeu lázaro,4,2.0,241.0,969
gerard moreno balaguero,7,1.0,151.0,766
gerard piqué bernabéu,84,11.0,10346.0,31117
gerd kische,1,0.0,21.0,87
gerhard müller,4,0.0,16.0,89
germán alejandro pezzella,2,0.0,61.0,234
germán sánchez barahona,1,0.0,34.0,125
gerrie mühren,6,0.0,48.0,195
geum-min lee,9,1.0,109.0,551
geyse da silva ferreira,1,0.0,7.0,39
giancarlo marocchi,2,0.0,74.0,272
gianfranco bedin,4,0.0,42.0,155
gilbert gianelli imbula wanga,3,0.0,296.0,1155
gilberto aparecido da silva,31,4.0,1602.0,5647
gilly louise scarlett flaherty,23,1.0,1457.0,4270
giorgio chinaglia,3,1.0,39.0,150
giovani lo celso,6,1.0,74.0,317
giovani dos santos ramírez,2,0.0,45.0,195
giovanni francini,2,0.0,48.0,181
giulia gwinn,4,1.0,135.0,520
giuseppe rossi,1,0.0,25.0,155
glen johnson,9,0.0,430.0,1363
glenn hoddle,2,0.0,47.0,158
glenn murray,2,1.0,20.0,194
glenn whelan,1,0.0,703.0,2201
gnégnéri yaya touré,21,1.0,424.0,1472
gonzalo castro irizábal,2,0.0,66.0,296
gonzalo escalante,8,0.0,171.0,762
gonzalo gerardo higuaín,3,0.0,15.0,98
gonzalo julián melero manzanares,3,0.0,112.0,433
goran pandev,1,0.0,24.0,132
graeme le saux,4,0.0,34.0,136
graham dorrans,3,0.0,182.0,684
graham stuart,3,0.0,96.0,324
graziano pellè,33,6.0,324.0,1481
griedge mbock bathy nka,1,0.0,174.0,526
grzegorz krychowiak,1,0.0,55.0,282
guangtai jiang,1,0.0,53.0,151
guido marcelo carrillo,1,0.0,13.0,69
guilherme antonio arana lopes,1,0.0,49.0,147
guilherme magdalena siqueira,2,0.0,44.0,158
guro reiten,32,6.0,614.0,2510
gylfi þór sigurðsson,28,4.0,458.0,1764
"gérémi sorele n""djitap fotso",3,0.0,98.0,394
gökhan i̇nler,1,0.0,46.0,173
günter netzer,1,0.0,22.0,75
halimatu ibrahim ayinde,2,0.0,49.0,202
hamit altıntop,3,0.0,31.0,145
