player_id,minutes_played_season,goals_total,assists_total,yellow_cards,red_cards,market_value_eur,player_name,date_of_birth,position,sub_position,age,transfer_fee_eur,season_year,competition_and_season,sb_matches_played,sb_goals,sb_assists,sb_shots,sb_xg,sb_passes,sb_pass_completed,sb_tackles,sb_interceptions,sb_dribbles_completed,sb_minutes_played,sb_pass_accuracy,bmi,season_days_injured,days_injured_prev_season,cumulative_days_injured,injury_days_per_game,injury_trend,severe_injury_this_season,injury_risk_score,fan_sentiment,media_sentiment
4241,2810,2,0,2,0,2000000,Joleon Lescott,16-08-1982,Defender,Centre-Back,33,0,2015,Premier League_2015/2016,32,2,0,11,1.541028678,1043,828,44,36,9,97,0.793863854,23.70584143,0,0,0,0,0,0,0,0.300366134,0.23535351
4267,2250,0,0,1,0,2000000,Tim Howard,06-03-1979,Goalkeeper,Goalkeeper,36,0,2015,Premier League_2015/2016,25,0,0,0,0,805,554,0,0,1,97,0.688198758,23.70584143,0,0,0,0,0,0,0,0.010541306,0.408066968
4311,1980,0,0,1,0,1000000,Maarten Stekelenburg,22-09-1982,Goalkeeper,Goalkeeper,33,0,2015,Premier League_2015/2016,17,0,0,0,0,467,289,0,0,0,97,0.618843683,23.70584143,30,0,0,1.5,30,0,0.277290153,0.300507749,-0.015864312
4311,1890,0,0,0,0,550000,Maarten Stekelenburg,22-09-1982,Goalkeeper,Goalkeeper,38,0,2020,UEFA Euro_2020,4,0,0,0,0,141,94,0,0,0,95,0.666666667,23.70584143,0,0,0,0,0,0,0,-0.116719396,0.484645308
4321,257,0,0,0,0,1500000,Steven Pienaar,17-03-1982,Midfield,Left Midfield,33,0,2015,Premier League_2015/2016,4,0,0,2,0.051837135,80,64,1,4,4,99,0.8,22.83737024,77,0,0,4.8125,77,1,0.327836824,0.252311954,0.114299218
4357,3166,16,6,2,0,6500000,Klaas-Jan Huntelaar,12-08-1983,Attack,Centre-Forward,32,0,2015,1. Bundesliga_2015/2016,31,12,3,73,12.66770611,520,386,6,3,10,94,0.742307692,23.42773844,0,0,0,0,0,0,0,0.241496559,0.6145207
4360,2211,13,13,2,0,22000000,Arjen Robben,23-01-1984,Attack,Right Winger,28,0,2012,Champions League_2012/2013,1,1,0,3,1.02968133,40,27,2,0,2,91,0.675,23.42773844,0,0,0,0,0,0,0,0.272009843,0.491087346
4360,1498,7,3,1,0,20000000,Arjen Robben,23-01-1984,Attack,Right Winger,31,0,2015,1. Bundesliga_2015/2016,15,4,1,51,6.069763036,620,495,6,3,19,94,0.798387097,23.42773844,0,0,0,0,0,0,0,0.675859384,0.411613304
4607,379,0,0,1,0,500000,Roel Brouwers,28-11-1981,Defender,Centre-Back,34,0,2015,1. Bundesliga_2015/2016,8,0,0,1,0.08036541,185,173,2,2,0,94,0.935135135,23.42773844,0,0,0,0,0,0,0,-0.034462931,0.027153689
4672,461,0,0,0,1,4000000,Nigel de Jong,30-11-1984,Midfield,Defensive Midfield,31,0,2015,Serie A_2015/2016,5,0,0,4,0.117891935,184,152,4,3,0,94,0.826086957,23.42773844,0,0,0,0,0,0,0,-0.134560051,0.150176394
4687,1739,1,3,2,0,3500000,Aaron Hunt,04-09-1986,Midfield,Attacking Midfield,29,0,2015,1. Bundesliga_2015/2016,23,1,2,24,1.900835992,870,625,28,7,25,97,0.718390805,23.42773844,0,0,0,0,0,0,0,0.162635979,-0.109378283
4691,2839,2,0,13,0,750000,Peter Niemeyer,22-11-1983,Midfield,Defensive Midfield,32,0,2015,1. Bundesliga_2015/2016,31,2,0,29,2.91197572,703,394,75,38,2,95,0.560455192,23.42773844,0,0,0,0,0,0,0,-0.389573671,-0.291395634
