player_name,season,matches_played,goals,assists,shots,xg,passes,pass_completed,tackles,interceptions,dribbles_completed,minutes_played,pass_accuracy
Aitor Fernández Abarisketa,La Liga_2018/2019,1,0,0,0,0.0,39,28,0,0,0,87,0.717948717948718
Aitor Fernández Abarisketa,La Liga_2019/2020,2,0,0,0,0.0,43,30,0,0,0,94,0.6976744186046512
Aitor Fernández Abarisketa,La Liga_2020/2021,2,0,0,0,0.0,64,52,0,0,0,95,0.8125
Aitor López Rekarte,La Liga_2006/2007,1,0,0,0,0.0,17,13,2,0,0,59,0.7647058823529411
Aitor López Rekarte,La Liga_2007/2008,1,0,0,0,0.0,6,4,0,0,0,88,0.6666666666666666
Aitor Núñez Martín,La Liga_2011/2012,1,0,0,0,0.0,15,12,3,1,0,87,0.8
Aitor Ocio Carrión,La Liga_2005/2006,1,0,0,1,0.079364285,21,15,0,1,0,92,0.7142857142857143
Aitor Ocio Carrión,La Liga_2006/2007,1,0,0,0,0.0,10,9,0,1,0,27,0.9
Aitor Ocio Carrión,La Liga_2007/2008,1,0,0,1,0.02041454,31,27,1,0,0,91,0.8709677419354839
Aitor Ramos Leniz,La Liga_2007/2008,1,0,0,1,0.025347976,18,12,1,0,0,91,0.6666666666666666
Aitor Ruibal García,La Liga_2019/2020,1,0,0,0,0.0,31,23,3,2,1,93,0.7419354838709677
Aitor Ruibal García,La Liga_2020/2021,2,0,0,0,0.0,19,13,1,3,2,94,0.6842105263157895
Aitor Tornavaca Fernández,La Liga_2006/2007,1,0,0,2,0.049540819400000005,34,26,2,0,1,90,0.7647058823529411
Aitor Tornavaca Fernández,La Liga_2007/2008,2,0,0,0,0.0,52,34,7,3,1,66,0.6538461538461539
Aitor Tornavaca Fernández,La Liga_2008/2009,1,0,0,0,0.0,13,10,0,3,0,57,0.7692307692307693
Aivi Belinda Kerstin Luik,Women's World Cup_2019,1,0,0,0,0.0,9,7,1,0,0,91,0.7777777777777778
Ajara Nchout,Women's World Cup_2019,4,2,0,5,0.7386411663000001,93,63,3,7,21,99,0.6774193548387096
Ajay Chhetri,Indian Super league_2021/2022,4,0,0,1,0.006232688,137,116,7,3,1,98,0.8467153284671532
Ajdin Hrustic,FIFA World Cup_2022,3,0,0,1,0.033247408,23,18,0,0,1,96,0.782608695652174
Ajith Kumar,Indian Super league_2021/2022,5,0,0,0,0.0,163,109,14,11,3,94,0.6687116564417178
Akash Mishra,Indian Super league_2021/2022,23,2,3,12,0.7513012589999999,1120,797,53,64,33,117,0.7116071428571429
Akihiro Ienaga,La Liga_2010/2011,1,0,0,1,0.027396608,10,7,0,1,2,90,0.7
Akim Zedadka,Ligue 1_2021/2022,1,0,0,0,0.0,47,41,3,1,0,89,0.8723404255319149
Akim Zedadka,Ligue 1_2022/2023,1,0,0,0,0.0,35,33,1,0,0,94,0.9428571428571428
Akram Hassan Afif,FIFA World Cup_2022,3,0,0,2,0.029100373,166,141,0,0,3,95,0.8493975903614458
Akshunna Tyagi,Indian Super league_2021/2022,1,0,0,1,0.17134155,2,2,1,0,0,93,1.0
Alaeddine Yahia,Ligue 1_2015/2016,26,1,0,16,1.6873521200000001,727,528,36,16,1,94,0.7262723521320495
Alain Didier Zokora-Déguy,La Liga_2009/2010,1,0,1,0,0.0,31,24,1,2,1,88,0.7741935483870968
Alain Didier Zokora-Déguy,La Liga_2010/2011,2,0,0,0,0.0,28,26,2,0,1,89,0.9285714285714286
Alain Goma,Premier League_2003/2004,1,0,0,0,0.0,29,26,3,0,0,92,0.896551724137931
Alain Nef,La Liga_2008/2009,1,0,0,0,0.0,32,26,3,1,0,92,0.8125
Alan Dzagoev,FIFA World Cup_2018,2,1,1,2,0.85860638,21,14,0,0,0,122,0.6666666666666666
Alan Henrique Costa,Indian Super league_2021/2022,18,2,1,11,1.22363966,922,795,15,34,6,98,0.8622559652928417
Alan Hutton,Premier League_2015/2016,28,0,1,11,0.5567992279999999,1232,876,60,25,11,100,0.711038961038961
Alan James Ball,FIFA World Cup_1970,1,0,0,4,0.27910904400000003,40,31,2,0,1,86,0.775
Alan Patrick Mullery,FIFA World Cup_1970,1,0,0,0,0.0,68,59,3,0,0,90,0.8676470588235294
Alan Shearer,Premier League_2003/2004,2,0,0,2,0.0459478475,59,25,0,1,1,93,0.423728813559322
Alan Smith,Premier League_2003/2004,2,1,0,5,0.327062943,106,77,6,0,7,91,0.7264150943396226
Alan Steve Minda García,Copa America_2024,4,1,0,2,1.22008274,15,10,1,0,3,123,0.6666666666666666
Alan Steven Franco Palma,Copa America_2024,4,0,0,3,0.122280855,105,89,1,2,0,96,0.8476190476190476
Alan Steven Franco Palma,FIFA World Cup_2022,2,0,0,0,0.0,11,10,1,0,0,93,0.9090909090909091
Alan Stubbs,Premier League_2003/2004,2,0,0,3,0.176871164,62,42,1,3,1,93,0.6774193548387096
Alan Virginius,Ligue 1_2022/2023,2,0,0,1,0.048681363,12,10,0,1,0,96,0.8333333333333334
Alan Wright,Premier League_2003/2004,1,0,0,0,0.0,63,51,1,0,2,90,0.8095238095238095
